EmployeeID,ExitDate,ExitType,ExitReason,TenureDaysAtExit
EMP10001,2023-10-19,Resignation,Salary,465
EMP10002,2024-04-26,Resignation,Personal / Family,34
EMP10004,2026-08-25,Resignation,Manager Relationship,1186
EMP10005,2023-05-21,Resignation,Better Offer,1207
EMP10006,2024-05-06,End of Contract,Project Demobilisation,268
EMP10007,2026-03-13,Resignation,Manager Relationship,27
EMP10008,2026-09-15,Resignation,Better Offer,472
EMP10011,2024-01-29,Absconding,Site Conditions,30
EMP10012,2024-05-26,Resignation,Manager Relationship,407
EMP10013,2024-07-04,Resignation,Career Growth,12
EMP10014,2024-10-19,Termination,Attendance,1255
EMP10015,2026-08-30,Resignation,Personal / Family,2448
EMP10016,2025-12-07,Resignation,Work Conditions,2044
EMP10017,2024-03-21,Resignation,Relocation,208
EMP10019,2023-08-04,Resignation,Manager Relationship,1298
EMP10022,2023-09-24,Absconding,Wage Dispute,15
EMP10023,2025-12-21,Resignation,Relocation,351
EMP10024,2024-01-01,Resignation,Better Offer,23
EMP10025,2023-05-11,Resignation,Relocation,19
EMP10027,2024-03-24,Resignation,Career Growth,1391
EMP10028,2025-10-28,Resignation,Salary,500
EMP10030,2023-04-22,Resignation,Work Conditions,21
EMP10031,2024-08-06,Resignation,Salary,325
EMP10034,2023-12-11,Resignation,Manager Relationship,1366
EMP10035,2025-08-16,Resignation,Better Offer,231
EMP10036,2024-12-04,Termination,Attendance,487
EMP10037,2025-11-07,Resignation,Work Conditions,223
EMP10038,2024-04-02,Resignation,Personal / Family,1691
EMP10039,2026-03-12,Resignation,Manager Relationship,1589
EMP10041,2023-07-16,Resignation,Relocation,1315
EMP10042,2023-12-06,Resignation,Salary,60
EMP10043,2026-04-08,Resignation,Better Offer,1819
EMP10045,2024-03-22,Resignation,Personal / Family,950
EMP10048,2024-01-26,Resignation,Personal / Family,664
EMP10049,2025-10-27,Resignation,Manager Relationship,758
EMP10050,2025-10-07,Resignation,Manager Relationship,87
EMP10051,2024-03-25,Resignation,Personal / Family,1348
EMP10052,2024-10-15,Resignation,Work Conditions,241
EMP10054,2026-09-03,Resignation,Better Offer,313
EMP10057,2023-08-16,Resignation,Career Growth,1258
EMP10058,2024-11-02,End of Contract,Contract Not Renewed,217
EMP10060,2025-05-16,Resignation,Personal / Family,903
EMP10062,2026-04-08,Absconding,Wage Dispute,11
EMP10063,2023-07-05,Resignation,Salary,1378
EMP10064,2026-08-28,Resignation,Manager Relationship,2027
EMP10067,2026-03-30,Resignation,Career Growth,618
EMP10068,2024-11-07,End of Contract,Project Demobilisation,1632
EMP10070,2025-05-10,Resignation,Career Growth,161
EMP10076,2024-05-28,Resignation,Better Offer,45
EMP10078,2024-05-11,Resignation,Better Offer,126
EMP10079,2024-04-29,Resignation,Career Growth,1030
EMP10080,2024-08-12,Resignation,Career Growth,30
EMP10082,2025-09-11,Resignation,Better Offer,740
EMP10083,2026-06-26,Resignation,Better Offer,160
EMP10085,2025-05-02,Resignation,Manager Relationship,1337
EMP10086,2025-07-20,Resignation,Personal / Family,64
EMP10087,2023-05-24,Resignation,Salary,1017
EMP10088,2023-08-07,Resignation,Manager Relationship,786
EMP10089,2024-04-12,Resignation,Better Offer,293
EMP10091,2025-04-13,Absconding,No Intimation,1
EMP10092,2024-05-27,Resignation,Better Offer,1606
EMP10093,2025-11-28,Resignation,Personal / Family,307
EMP10094,2023-06-23,Resignation,Salary,13
EMP10096,2023-08-31,Resignation,Relocation,569
EMP10097,2023-06-03,Resignation,Career Growth,14
EMP10098,2023-05-29,Absconding,Wage Dispute,37
EMP10099,2026-08-17,Resignation,Personal / Family,1789
EMP10108,2024-05-03,End of Contract,Project Demobilisation,265
EMP10109,2024-01-18,Resignation,Personal / Family,1739
EMP10110,2024-12-22,End of Contract,Contract Not Renewed,547
EMP10112,2025-09-22,Termination,Attendance,30
EMP10114,2026-06-13,Resignation,Better Offer,581
