EmployeeID,EventDate,EventType,EventDetail
EMP10001,2022-07-11,Joined,Joined as Deputy Manager at Bengaluru Tech Park via Recruitment Consultancy
EMP10001,2023-04-22,Grievance,Grievance raised with HR
EMP10001,2023-09-16,Resignation Submitted,"33-day notice, reason: Salary"
EMP10001,2023-10-19,Exit,Resignation - Salary
EMP10002,2024-03-23,Joined,Joined as Construction Manager at Delhi NCR Logistics Hub via Recruitment Consultancy
EMP10002,2024-04-20,Resignation Submitted,"6-day notice, reason: Personal / Family"
EMP10002,2024-04-26,Exit,Resignation - Personal / Family
EMP10003,2023-12-23,Joined,Joined as Site Engineer at Ahmedabad Water Works via Recruitment Consultancy
EMP10003,2024-02-17,Training,Training completed
EMP10003,2024-03-02,Training,Training completed
EMP10003,2024-07-13,Training,Training completed
EMP10003,2024-08-31,Training,Training completed
EMP10003,2024-09-28,Training,Training completed
EMP10003,2025-07-12,Manager Change,Reporting manager changed
EMP10003,2025-09-27,Training,Training completed
EMP10003,2025-11-29,Training,Training completed
EMP10003,2025-12-20,Promotion,Promoted / re-graded
EMP10003,2026-02-28,Grievance,Grievance raised with HR
EMP10003,2026-04-11,Training,Training completed
EMP10003,2026-05-23,Training,Training completed
EMP10004,2023-05-27,Joined,Joined as Deputy Manager at Mumbai HO via Recruitment Consultancy
EMP10004,2023-07-22,Manager Change,Reporting manager changed
EMP10004,2024-06-01,Manager Change,Reporting manager changed
EMP10004,2024-08-31,Training,Training completed
EMP10004,2024-12-28,Manager Change,Reporting manager changed
EMP10004,2025-03-15,Grievance,Grievance raised with HR
EMP10004,2025-08-02,Training,Training completed
EMP10004,2026-02-21,Training,Training completed
EMP10004,2026-08-25,Exit,Resignation - Manager Relationship
EMP10005,2020-01-30,Joined,Joined as Junior Engineer at Delhi NCR Logistics Hub via Labour Contractor
EMP10005,2023-05-13,Grievance,Grievance raised with HR
EMP10005,2023-05-21,Exit,Resignation - Better Offer
EMP10006,2023-08-12,Joined,Joined as Site Engineer at Mantralaya Redevelopment via Naukri / Job Portal
EMP10006,2023-12-09,Training,Training completed
EMP10006,2024-05-06,Exit,End of Contract - Project Demobilisation
EMP10007,2026-02-14,Joined,Joined as Deputy Manager at Mumbai HO via Employee Referral
EMP10007,2026-03-07,Training,Training completed
EMP10007,2026-03-07,Resignation Submitted,"6-day notice, reason: Manager Relationship"
EMP10007,2026-03-13,Exit,Resignation - Manager Relationship
EMP10008,2025-05-31,Joined,Joined as Procurement Executive at Mumbai HO via Naukri / Job Portal
EMP10008,2025-06-21,Training,Training completed
EMP10008,2025-08-02,Training,Training completed
EMP10008,2025-10-25,Manager Change,Reporting manager changed
EMP10008,2025-11-08,Grievance,Grievance raised with HR
EMP10008,2025-12-13,Grievance,Grievance raised with HR
EMP10008,2026-03-28,Grievance,Grievance raised with HR
EMP10008,2026-07-25,Resignation Submitted,"52-day notice, reason: Better Offer"
EMP10008,2026-09-15,Exit,Resignation - Better Offer
EMP10009,2023-01-01,Joined,Joined as Construction Manager at Pune Metro Reach-3 via Employee Referral
EMP10009,2023-09-02,Training,Training completed
EMP10009,2024-02-10,Training,Training completed
EMP10009,2024-03-23,Training,Training completed
EMP10009,2024-05-04,Manager Change,Reporting manager changed
EMP10009,2024-06-01,Training,Training completed
EMP10009,2024-10-19,Manager Change,Reporting manager changed
EMP10009,2025-02-08,Grievance,Grievance raised with HR
EMP10009,2025-02-22,Grievance,Grievance raised with HR
EMP10009,2025-09-13,Training,Training completed
EMP10009,2026-03-28,Grievance,Grievance raised with HR
EMP10010,2026-03-28,Joined,Joined as Deputy Manager at Mantralaya Redevelopment via Recruitment Consultancy
EMP10010,2026-06-06,Grievance,Grievance raised with HR
