EmployeeID,DOJ,Department,Position,Grade,Site,SiteType,ManagerID,EmploymentType,RecruitmentSource,Age,PriorExperienceYears,MonthlySalary,SalaryVsRoleBenchmark,DistanceFromSiteKm,AccommodationProvided,BusinessCriticality,RealisticJobPreview,SiteRemoteness
EMP10001,2022-07-11,Design & Engineering,Deputy Manager,5,Bengaluru Tech Park,Commercial,MGR006,Permanent,Recruitment Consultancy,36,7.4,98100,0.0726,9.8,0,4,0,0.2
EMP10002,2024-03-23,Civil Execution,Construction Manager,5,Delhi NCR Logistics Hub,Industrial,MGR067,Permanent,Recruitment Consultancy,39,7.1,126600,0.2152,2.9,1,5,0,0.45
EMP10003,2023-12-23,MEP,Site Engineer,3,Ahmedabad Water Works,Water,MGR040,Permanent,Recruitment Consultancy,31,6.0,50200,0.1422,3.6,1,3,0,0.65
EMP10004,2023-05-27,Procurement,Deputy Manager,5,Mumbai HO,Corporate,MGR024,Fixed Term Contract,Recruitment Consultancy,37,6.8,113300,0.2471,9.1,0,4,1,0.05
EMP10005,2020-01-30,Quality Assurance & Control,Junior Engineer,2,Delhi NCR Logistics Hub,Industrial,MGR047,Fixed Term Contract,Labour Contractor,23,1.9,26600,0.0003,3.9,1,2,0,0.45
EMP10006,2023-08-12,Civil Execution,Site Engineer,3,Mantralaya Redevelopment,Government Building,MGR007,Fixed Term Contract,Naukri / Job Portal,38,5.3,40300,-0.0758,7.9,0,3,1,0.15
EMP10007,2026-02-14,Accounts & Finance,Deputy Manager,5,Mumbai HO,Corporate,MGR051,Apprentice / Trainee,Employee Referral,36,6.4,97700,0.0801,5.6,0,4,1,0.05
EMP10008,2025-05-31,Procurement,Procurement Executive,3,Mumbai HO,Corporate,MGR038,Apprentice / Trainee,Naukri / Job Portal,28,3.3,39600,-0.1535,4.8,0,3,0,0.05
EMP10009,2023-01-01,Civil Execution,Construction Manager,5,Pune Metro Reach-3,Metro,MGR075,Permanent,Employee Referral,39,8.8,107900,0.0166,7.2,0,5,1,0.25
EMP10010,2026-03-28,MEP,Deputy Manager,5,Mantralaya Redevelopment,Government Building,MGR077,Permanent,Recruitment Consultancy,55,10.9,96500,0.0159,18.8,0,4,0,0.15
EMP10011,2023-12-30,Civil Execution,Site Engineer,3,Mantralaya Redevelopment,Government Building,MGR004,Permanent,Labour Contractor,37,3.9,35100,-0.1822,6.1,0,3,0,0.15
EMP10012,2023-04-15,Quality Assurance & Control,Deputy Manager,5,Delhi NCR Logistics Hub,Industrial,MGR037,Fixed Term Contract,Employee Referral,42,6.5,92600,0.0226,9.6,0,4,0,0.45
EMP10013,2024-06-22,Quality Assurance & Control,Junior Engineer,2,Pune Metro Reach-3,Metro,MGR042,Permanent,Employee Referral,29,1.8,33200,0.2499,31.5,0,2,1,0.25
EMP10014,2021-05-13,Civil Execution,Construction Manager,5,Bengaluru Tech Park,Commercial,MGR039,Retainer,Employee Referral,27,7.8,104800,-0.0018,6.9,0,5,1,0.2
EMP10015,2019-12-17,Planning & Coordination,Senior Engineer,4,Pune Metro Reach-3,Metro,MGR105,Permanent,Walk-in / Site Gate,32,4.8,84800,0.2933,11.2,0,4,0,0.25
EMP10016,2020-05-03,Civil Execution,Senior Engineer,4,Bengaluru Tech Park,Commercial,MGR046,Permanent,Labour Contractor,30,4.8,67200,0.0248,9.8,0,4,1,0.2
EMP10017,2023-08-26,Accounts & Finance,Accounts Officer,3,Mumbai HO,Corporate,MGR012,Permanent,Labour Contractor,35,5.9,51100,0.2898,9.0,0,2,0,0.05
EMP10018,2025-03-01,Design & Engineering,Design Engineer,4,Mumbai HO,Corporate,MGR110,Permanent,Employee Referral,37,6.1,59900,-0.0698,21.8,0,4,1,0.05
EMP10019,2020-01-14,Civil Execution,Site Helper,1,Mantralaya Redevelopment,Government Building,MGR006,Permanent,Labour Contractor,24,0.5,16100,-0.0301,32.1,0,1,0,0.15
EMP10020,2024-06-01,Civil Execution,Supervisor,2,JNPA WOLP,Port Infrastructure,MGR018,Apprentice / Trainee,Recruitment Consultancy,23,2.8,31500,0.0509,1.8,1,2,0,0.55
EMP10021,2023-02-17,Planning & Coordination,Planning Engineer,4,JNPA WOLP,Port Infrastructure,MGR078,Permanent,Campus Hiring,45,4.7,55500,-0.0942,2.0,1,4,1,0.55
EMP10022,2023-09-09,Design & Engineering,Senior Engineer,4,JNPA WOLP,Port Infrastructure,MGR057,Permanent,Recruitment Consultancy,51,5.0,68400,0.0408,4.3,1,4,0,0.55
EMP10023,2025-01-04,Civil Execution,Junior Engineer,2,Bengaluru Tech Park,Commercial,MGR062,Fixed Term Contract,Campus Hiring,26,2.2,30900,0.1579,5.7,0,2,1,0.2
EMP10024,2023-12-09,Civil Execution,Supervisor,2,Bengaluru Tech Park,Commercial,MGR007,Fixed Term Contract,Naukri / Job Portal,33,1.6,32900,0.1131,24.9,0,2,1,0.2
EMP10025,2023-04-22,EHS,Safety Officer,3,Bengaluru Tech Park,Commercial,MGR108,Fixed Term Contract,Naukri / Job Portal,29,5.6,44600,0.0716,13.1,0,3,0,0.2
EMP10026,2026-02-28,Design & Engineering,Design Engineer,4,Mumbai HO,Corporate,MGR017,Fixed Term Contract,Employee Referral,43,5.9,68800,0.0709,6.7,0,4,1,0.05
EMP10027,2020-06-02,Quality Assurance & Control,Deputy Manager,5,Nagpur Expressway Pkg-4,Highway,MGR005,Permanent,Employee Referral,37,8.1,90100,-0.0224,3.3,1,4,1,0.85
EMP10028,2024-06-15,EHS,Supervisor,2,Mantralaya Redevelopment,Government Building,MGR019,Fixed Term Contract,Employee Referral,30,3.4,20500,-0.3208,28.1,0,2,1,0.15
EMP10029,2021-09-16,HR & Admin,HR Executive,3,Nagpur Expressway Pkg-4,Highway,MGR102,Retainer,Recruitment Consultancy,25,3.5,30500,-0.1869,5.2,1,2,1,0.85
EMP10030,2023-04-01,Stores & Logistics,Deputy Manager,5,Nagpur Expressway Pkg-4,Highway,MGR103,Apprentice / Trainee,Recruitment Consultancy,32,6.3,77600,-0.1411,28.7,0,4,0,0.85
EMP10031,2023-09-16,Accounts & Finance,Accounts Officer,3,JNPA WOLP,Port Infrastructure,MGR029,Fixed Term Contract,Labour Contractor,30,7.7,42200,0.0441,33.6,0,2,1,0.55
EMP10032,2024-01-20,Accounts & Finance,Accounts Officer,3,JNPA WOLP,Port Infrastructure,MGR100,Permanent,Labour Contractor,27,4.1,43900,0.1308,11.9,1,2,0,0.55
EMP10033,2026-04-25,EHS,Deputy Manager,5,Ahmedabad Water Works,Water,MGR021,Permanent,Internal Transfer,41,7.3,85000,-0.0696,4.5,1,4,1,0.65
EMP10034,2020-03-15,Stores & Logistics,Supervisor,2,Pune Metro Reach-3,Metro,MGR005,Fixed Term Contract,Employee Referral,33,2.4,39600,0.3273,15.1,0,2,1,0.25
